YEAR ,PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,% LOOSE BALLS RECOVERED OFF,% LOOSE BALLS RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,CONTESTED SHOTS
2019-2020,Aaron Gordon,ORL,62,30,32,32.5,12820.2,2.43,1.34,1.08,4.2,4.65,3.76,55,119,63,33,34,67,49.3,50.7,1,209,121,330
2019-2020,Aaron Holiday,IND,66,42,24,24.5,9661.7,1.83,0.96,0.87,4.2,4.42,3.98,13,31,111,22,24,46,47.8,52.2,3,195,217,412
2019-2020,Abdel Nader,OKC,55,37,18,15.8,6444.6,1.22,0.64,0.58,4.32,4.55,4.09,7,16,54,12,17,29,41.4,58.6,0,127,96,223
2019-2020,Adam Mokoka,CHI,11,3,8,10.2,4173.8,0.79,0.41,0.38,4.24,4.44,4.06,1,2,10,2,1,3,66.7,33.3,0,4,10,14
2019-2020,Admiral Schofield,WAS,33,9,24,11.2,4341.6,0.82,0.44,0.38,4.19,4.59,3.8,23,53,15,5,4,9,55.6,44.4,1,51,31,82
2019-2020,Al Horford,PHI,67,39,28,30.2,11045.3,2.09,1.15,0.94,3.95,4.24,3.65,173,392,102,41,26,67,61.2,38.8,0,483,191,674
2019-2020,Al-Farouq Aminu,ORL,18,7,11,21.1,8752.2,1.66,0.94,0.72,4.39,4.87,3.93,13,27,36,4,11,15,26.7,73.3,1,59,54,113
2019-2020,Alec Burks,PHI,66,21,45,26.6,10196.8,1.93,1.02,0.91,4.12,4.35,3.89,8,21,108,21,29,50,42,58,3,179,161,340
2019-2020,Alen Smailagic,GSW,14,1,13,9.9,4100.4,0.78,0.41,0.37,4.39,4.61,4.16,15,34,6,5,3,8,62.5,37.5,2,36,18,54
2019-2020,Alex Caruso,LAL,64,48,16,18.4,7462.3,1.41,0.74,0.67,4.29,4.55,4.03,28,66,131,14,32,46,30.4,69.6,10,128,125,253
2019-2020,Alex Len,SAC,54,18,36,17.7,6949.6,1.32,0.71,0.6,4.16,4.46,3.85,137,325,41,16,11,27,59.3,40.7,0,381,90,471
2019-2020,Alfonzo McKinnie,CLE,40,11,29,14.8,6048.4,1.15,0.61,0.54,4.41,4.58,4.24,5,13,44,6,8,14,42.9,57.1,2,48,43,91
2019-2020,Alize Johnson,IND,17,10,7,6.9,2746.5,0.52,0.27,0.25,4.51,4.75,4.36,4,11,4,0,1,1,0,100,0,10,18,28
2019-2020,Allen Crabbe,MIN,37,5,32,17.6,6925.9,1.31,0.7,0.61,4.13,4.38,3.88,2,5,42,5,8,13,38.5,61.5,1,46,40,86
2019-2020,Allonzo Trier,NYK,24,2,22,12.1,4797.4,0.91,0.48,0.43,4.18,4.52,3.85,1,2,7,2,2,4,50,50,0,28,27,55
2019-2020,Amile Jefferson,ORL,18,5,13,4.1,1711.1,0.32,0.18,0.14,4.45,4.86,4,6,15,2,3,0,3,100,0,0,12,11,23
2019-2020,Amir Coffey,LAC,18,11,7,8.8,3444.7,0.65,0.36,0.3,4.09,4.51,3.67,1,3,5,0,4,4,0,100,0,15,16,31
2019-2020,Andre Drummond,CLE,56,21,35,32.9,11929.2,2.26,1.2,1.06,3.86,3.97,3.74,239,529,201,44,37,81,54.3,45.7,1,586,157,743
2019-2020,Andre Iguodala,MIA,20,10,10,19.8,7965.6,1.51,0.79,0.72,4.21,4.46,3.97,7,19,29,7,7,14,50,50,0,54,47,101
2019-2020,Andre Roberson,OKC,7,3,4,12.4,5209.7,0.99,0.49,0.49,4.4,4.32,4.47,2,4,8,2,1,3,66.7,33.3,0,18,9,27
2019-2020,Andrew Wiggins,GSW,54,15,39,34.4,13227.5,2.51,1.39,1.12,4.07,4.53,3.61,9,24,74,28,25,53,52.8,47.2,1,242,228,470
2019-2020,Anfernee Simons,POR,70,32,38,20.7,8624.6,1.63,0.89,0.75,4.4,4.68,4.12,9,22,38,23,18,41,56.1,43.9,1,185,175,360
2019-2020,Ante Zizic,CLE,22,4,18,10,3846.7,0.73,0.37,0.36,4.04,4.23,3.86,37,82,9,5,1,6,83.3,16.7,0,71,11,82
2019-2020,Anthony Davis,LAL,62,46,16,34.4,12046.4,2.28,1.17,1.11,3.73,3.86,3.59,151,339,170,54,54,108,50,50,13,482,290,772
2019-2020,Anthony Tolliver,MEM,55,24,31,15.8,6157.9,1.17,0.65,0.52,4.12,4.47,3.75,68,161,21,9,14,23,39.1,60.9,8,148,72,220
2019-2020,Antonius Cleveland,DAL,11,6,5,4.2,1584.9,0.3,0.16,0.14,4.15,4.35,3.93,0,0,2,2,0,2,100,0,0,3,2,5
2019-2020,An?ejs Pasecniks,WAS,27,9,18,16.2,6606.4,1.25,0.67,0.58,4.33,4.79,3.89,74,165,17,7,4,11,63.6,36.4,5,164,41,205
2019-2020,Aron Baynes,PHX,41,19,22,22.3,8261.6,1.56,0.83,0.74,3.95,4.18,3.71,125,282,22,14,6,20,70,30,16,279,88,367
2019-2020,Austin Rivers,HOU,68,43,25,23.4,8698.9,1.65,0.82,0.83,3.94,4.03,3.85,14,37,94,16,19,35,45.7,54.3,3,134,95,229
2019-2020,Avery Bradley,LAL,49,36,13,24.2,9917,1.88,0.95,0.93,4.36,4.44,4.29,12,27,78,20,16,36,55.6,44.4,2,67,94,161
2019-2020,BJ Johnson,ORL,10,5,5,8.3,3485.7,0.66,0.36,0.3,4.42,4.95,3.92,0,0,2,1,0,1,100,0,0,11,9,20
2019-2020,Bam Adebayo,MIA,71,44,27,33.5,12699.6,2.41,1.28,1.12,4.02,4.21,3.82,366,874,179,57,38,95,60,40,1,523,265,788
2019-2020,Ben McLemore,HOU,71,44,27,22.8,9043.4,1.71,0.86,0.85,4.28,4.45,4.11,28,71,80,19,22,41,46.3,53.7,3,176,138,314
